Loading dataset...
Engineering categorical features...
Selecting features...
Splitting train/val/test...
Applying log1p to skewed features...
Feature selection (variance + mutual information)...
Scaling features (standard)...
Stage 1: Training QCBM on normal traffic...
Ensembling QCBM models: 3
  Laplace smoothing alpha=1.0
  Contrastive loss enabled  lambda=0.5  margin=10.0
  Warm-start: pre-training 2 layers -> 3 layers
  [AerSimulator] GPU not available — using CPU statevector simulation
  ADAM iter 10/500: loss=3.341411  best=3.341411
  Final KL(anomaly || model): 9.971016  (set --contrast-margin above this to activate contrastive loss)
  Model 2 (seed=139): normal_kl=1.9674  anomaly_kl=9.9710  gap=8.0036
  Laplace smoothing alpha=1.0
  Contrastive loss enabled  lambda=0.5  margin=10.0
  Warm-start: pre-training 2 layers -> 3 layers
  ADAM iter 10/500: loss=4.453953  best=4.453953
  ADAM iter 20/500: loss=3.970894  best=3.970894
  ADAM iter 30/500: loss=3.497958  best=3.497958
  ADAM iter 40/500: loss=3.074243  best=3.074243
  ADAM iter 50/500: loss=2.721091  best=2.721091
  ADAM iter 60/500: loss=2.441627  best=2.441627
  ADAM iter 70/500: loss=2.221793  best=2.221793
  ADAM iter 80/500: loss=2.045083  best=2.045083
  ADAM iter 90/500: loss=1.899216  best=1.899216
  ADAM iter 100/500: loss=1.776279  best=1.776279
  ADAM iter 110/500: loss=1.668224  best=1.668224
  ADAM iter 120/500: loss=1.568283  best=1.568283
  ADAM iter 130/500: loss=1.473010  best=1.473010
  ADAM iter 140/500: loss=1.379930  best=1.379930
  ADAM iter 150/500: loss=1.289120  best=1.289120
  ADAM iter 160/500: loss=1.201845  best=1.201845
  ADAM iter 170/500: loss=1.118635  best=1.118635
  ADAM iter 180/500: loss=1.038886  best=1.038886
  ADAM iter 190/500: loss=0.964010  best=0.964010
  ADAM iter 200/500: loss=0.896352  best=0.896352
  ADAM iter 210/500: loss=0.834878  best=0.834878
  ADAM iter 220/500: loss=0.778470  best=0.778470
  ADAM iter 230/500: loss=0.726447  best=0.726447
  ADAM iter 240/500: loss=0.678290  best=0.678290
  ADAM iter 250/500: loss=0.633971  best=0.633971
  ADAM iter 260/500: loss=0.593639  best=0.593639
  ADAM iter 270/500: loss=0.557473  best=0.557473
  ADAM iter 280/500: loss=0.525616  best=0.525616
  ADAM iter 290/500: loss=0.498066  best=0.498066
  ADAM iter 300/500: loss=0.474602  best=0.474602
  ADAM iter 310/500: loss=0.454862  best=0.454862
  ADAM iter 320/500: loss=0.438464  best=0.438464
  ADAM iter 330/500: loss=0.425170  best=0.425170
  ADAM iter 340/500: loss=0.415019  best=0.415019
  ADAM iter 350/500: loss=0.408044  best=0.408044
  ADAM iter 360/500: loss=0.403935  best=0.403935
  ADAM iter 370/500: loss=0.402267  best=0.402267
  ADAM iter 380/500: loss=0.402453  best=0.402145
  ADAM iter 390/500: loss=0.404204  best=0.402145
  ADAM iter 400/500: loss=0.407323  best=0.402145
  ADAM iter 410/500: loss=0.411635  best=0.402145
  ADAM iter 420/500: loss=0.417035  best=0.402145
  Early stop at iter 423  best_loss=0.402145
  Optimizer: ADAM  lr=0.003  beta1=0.9  beta2=0.999
  Gradient: parameter-shift rule  [batched GPU (161 circuits/job)]
  ADAM iter 10/1500: loss=4.657726  best=4.657726
  ADAM iter 20/1500: loss=4.080198  best=4.080198
  ADAM iter 30/1500: loss=4.079056  best=4.071458
  ADAM iter 40/1500: loss=3.855000  best=3.855000
  ADAM iter 50/1500: loss=3.661558  best=3.661558
  ADAM iter 60/1500: loss=3.489254  best=3.489254
  ADAM iter 70/1500: loss=3.254525  best=3.254525
  ADAM iter 80/1500: loss=3.041563  best=3.041563
  ADAM iter 90/1500: loss=2.904951  best=2.904951
  ADAM iter 100/1500: loss=2.881272  best=2.881272
  ADAM iter 110/1500: loss=2.879857  best=2.877342
  ADAM iter 120/1500: loss=2.873967  best=2.873967
  ADAM iter 130/1500: loss=2.817712  best=2.817712
  ADAM iter 140/1500: loss=2.691643  best=2.691643
  ADAM iter 150/1500: loss=2.609283  best=2.609283
  ADAM iter 160/1500: loss=2.550673  best=2.550673
  ADAM iter 170/1500: loss=2.491933  best=2.490751
  ADAM iter 180/1500: loss=2.600791  best=2.490751
  ADAM iter 190/1500: loss=2.502778  best=2.490751
  ADAM iter 200/1500: loss=2.401545  best=2.401545
  ADAM iter 210/1500: loss=2.293604  best=2.293604
  ADAM iter 220/1500: loss=2.180127  best=2.180127
  ADAM iter 230/1500: loss=2.075881  best=2.075881
  ADAM iter 240/1500: loss=2.189779  best=2.075881
  ADAM iter 250/1500: loss=2.251556  best=2.075881
  ADAM iter 260/1500: loss=2.340540  best=2.075881
  ADAM iter 270/1500: loss=2.430431  best=2.075881
  ADAM iter 280/1500: loss=2.510500  best=2.075881
  Early stop at iter 280  best_loss=2.075881
  Final KL(normal || model) : 2.059751
  Final KL(anomaly || model): 9.941936  (set --contrast-margin above this to activate contrastive loss)
  Model 3 (seed=236): normal_kl=2.0598  anomaly_kl=9.9419  gap=7.8822
  Ensemble weights: ['0.308', '0.349', '0.344']

Stage 1 metrics:
  Metric         F1 threshold  Youden threshold
  ---------------------------------------------
  ROC-AUC              0.9082            0.9082
  PR-AUC               0.4406            0.4406
  F1                   0.5874            0.4507
  Precision            0.4679            0.2919
  Recall/DR            0.7889            0.9881
  FAR                  0.1110            0.2965
  MCC                  0.5458            0.4477
  TP                    44108             55247
  FP                    50154            134010
  FN                    11803               664
  TN                   401882            318026

  F1 threshold    : 0.568262  (val F1=0.5908)
  Youden threshold: 0.022857  (val J=0.6927)
  Tail threshold  : 2.760108  (p=0.990)
Saving artifacts...
Stage 1 complete.
